Name,Age,Position,Hand,BatTarget,OnBaseTarget,Pitcher,PitchDie,Traits,Team
Elise Pham,22,C,S,36,42,,,C+,Badgers
Paul Young,24,1B,L,21,29,,,,Badgers
John Vega,24,2B,R,53,63,,,S+,Badgers
Jonathan Vicente,28,3B,L,37,42,,,P+,Badgers
Edgar Stuart,21,SS,L,24,30,,,R+,Badgers
Carmelo Lorenzo,24,LF,L,25,32,,,P+,Badgers
Terry Franklin,31,CF,R,25,36,,,R+,Badgers
Tessa Lockridge,19,RF,R,33,41,,,P-,Badgers
Victor Gallego,29,OF,R,22,28,,,,Badgers
Carmelo Santos,38,OF,L,20,26,,,,Badgers
Kumaran Seelen,23,INF,R,24,28,,,,Badgers
Angela Munoz,21,INF,L,32,33,,,,Badgers
Ray Castro,25,C2,L,26,35,,,P++,Badgers
Alfred Caldwell,28,SP,L,,,,12,K+,Badgers
Eugenio Fernandez,26,SP,L,,,,12,D+,Badgers
Samuel Wiensenfield,23,SP,L,,,,12,R+,Badgers
Aida Greer,22,SP,R,,,,12,K+,Badgers
Vincent Day,35,SP,R,,,,4,,Badgers
Inez Henderson,22,RP,L,,,,20,ST+,Badgers
Zoe Carter,20,RP,L,,,,20,SC+,Badgers
Gabriel Rourke,19,RP,R,,,,20,K+,Badgers
Jonathan Nunez,23,RP,R,,,,12,CN+,Badgers
Kikki Rivas,21,RP,L,,,,8,ST+,Badgers
David Aguilar,32,RP,L,,,,4,CN-,Badgers
Sanjay Echeverria,23,RP,R,,,,4,GB+,Badgers
Coleen Beck,22,C,R,28,34,,,P++,Bulldogs
Ramon Caballero,31,1B,R,21,29,,,R-,Bulldogs
Marcus Osei,19,2B,L,26,31,,,,Bulldogs
Jesse Smith,22,3B,L,29,36,,,R+,Bulldogs
Isaac Herrero,34,SS,R,27,35,,,,Bulldogs
Soren Valtteri,18,LF,R,32,33,,,,Bulldogs
Denton Einarsson,24,CF,R,39,42,,,C+,Bulldogs
Gene Rasmussen,21,RF,L,40,41,,,R+,Bulldogs
Ivy Kincaid,20,OF,L,28,30,,,P++,Bulldogs
Diego Sandoval,18,OF,R,21,29,,,,Bulldogs
Alexander Delgado,30,INF,R,22,29,,,P++,Bulldogs
Javier Vargas,33,INF,R,17,26,,,S-,Bulldogs
Ted Clark,33,C2,R,13,19,,,D-,Bulldogs
Joan Pastor,25,SP,L,,,,12,K+,Bulldogs
Adrian Gardner,21,SP,L,,,,12,SC+,Bulldogs
Ralph Bradley,35,SP,L,,,,8,,Bulldogs
Layla Thorne,20,SP,R,,,,4,K+,Bulldogs
Kelly Harris,34,SP,R,,,,-4,,Bulldogs
Shane Holland,30,RP,L,,,,20,CN+,Bulldogs
Samuel Hernandez,26,RP,R,,,,20,Q+,Bulldogs
Callista Barkus,23,RP,L,,,,20,CN+,Bulldogs
Alfredo Garrido,26,RP,R,,,,12,,Bulldogs
Ross Cook,31,RP,L,,,,-4,,Bulldogs
Myrna Curtis,20,RP,L,,,,-4,,Bulldogs
Wade Ripley,20,RP,R,,,,-4,,Bulldogs
Sebastian Pascual,28,C,R,28,38,,,,Bullets
Ashlee Faulkner,22,1B,S,34,39,,,P+,Bullets
Anik De Luca,23,2B,S,40,41,,,P++,Bullets
Isaac Perez,26,3B,R,43,50,,,D+,Bullets
Jimmie Marshall,25,SS,L,29,34,,,C+ ,Bullets
Orion Vance,19,LF,R,32,38,,,,Bullets
Jim Kelley,30,CF,S,35,41,,,R+,Bullets
Tamera Watts,22,RF,L,30,35,,,,Bullets
Borja Mora,28,OF,R,30,39,,,C+,Bullets
Joan Fuentes,33,OF,R,25,35,,,C+,Bullets
Chong Koch,20,INF,L,29,32,,,,Bullets
Zara al-Masri,18,INF,R,24,27,,,,Bullets
Dominique O'Donnell,22,C2,L,32,36,,,P+,Bullets
Clemente Sahagun,23,SP,R,,,,12,Q+,Bullets
Gene Chaney,22,SP,R,,,,12,CN+,Bullets
Vicente Flores,30,SP,L,,,,12,,Bullets
Ricardo Lopez,32,SP,R,,,,8,,Bullets
Ivan Prieto,29,SP,L,,,,8,,Bullets
Stacy Clayton,20,RP,L,,,,20,R+,Bullets
Tyler Rivera,29,RP,R,,,,12,GB+,Bullets
Lucas Gil,27,RP,R,,,,12,,Bullets
Caroline Villarreal,21,RP,L,,,,12,,Bullets
Javier Soto,26,RP,L,,,,12,Q+,Bullets
Francis Riley,31,RP,L,,,,8,,Bullets
Antonio Aguilar,31,RP,R,,,,8,,Bullets
Ignacio Cruz,29,C,R,22,28,,,,Cannons
Connor Bigsby,20,1B,L,32,36,,,S+,Cannons
Glen Hamilton,34,2B,S,28,37,,,,Cannons
Jonas Bergstrom,19,3B,L,24,32,,,,Cannons
Virgil Hernandez,33,SS,R,24,31,,,,Cannons
Beckett Drayton,19,LF,R,28,36,,,P+,Cannons
Tyler Soto,27,CF,R,30,37,,,D+/R+,Cannons
Marc Caballero,36,RF,R,20,30,,,D-,Cannons
Eduardo Fields,35,OF,R,20,25,,,P-,Cannons
Jason Smith,33,OF,R,13,19,,,,Cannons
Marco Marquez,34,INF,R,22,32,,,,Cannons
Darrell Donovan,21,INF,R,21,25,,,P++,Cannons
